                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                      0,                 42.885,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.3394,                 4.5792,                 2.8588,             0.00079233,             0.00079233,             0.00079233
                     55,                      0,                 42.608,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.3203,                 4.5652,                 2.8395,             0.00077582,             0.00077582,             0.00077582
                     56,                      0,                 42.221,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.4132,                 4.5556,                 2.8779,             0.00075932,             0.00075932,             0.00075932
                     57,                      0,                 41.896,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.4132,                 4.5556,                 2.8779,             0.00074282,             0.00074282,             0.00074282
                     58,                      0,                 41.448,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.4563,                   4.55,                 2.9128,             0.00072631,             0.00072631,             0.00072631
                     59,                      0,                 41.383,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.4919,                 4.5412,                 2.9346,             0.00070981,             0.00070981,             0.00070981
                     60,                      0,                 40.863,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.4762,                 4.5316,                 2.9309,             0.00069331,             0.00069331,             0.00069331
                     61,                      0,                 40.518,                      0,                  3e-05,                0.00397,                  1e-05,                      0,                 4.4762,                 4.5316,                 2.9309,              0.0006768,              0.0006768,              0.0006768
                     62,                      0,                 40.144,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4644,                 4.5278,                 2.9176,              0.0006603,              0.0006603,              0.0006603
                     63,                      0,                 39.928,                      0,                  5e-05,                0.00162,                  3e-05,                      0,                 4.4201,                 4.5215,                 2.9171,              0.0006438,              0.0006438,              0.0006438
                     64,                      0,                 40.229,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4919,                 4.5214,                  2.959,             0.00062729,             0.00062729,             0.00062729
                     65,                      0,                 40.524,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4919,                 4.5214,                  2.959,             0.00061079,             0.00061079,             0.00061079
                     66,                      0,                 39.615,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4619,                 4.5265,                 2.9544,             0.00059429,             0.00059429,             0.00059429
                     67,                      0,                 39.272,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4149,                 4.5425,                 2.9193,             0.00057778,             0.00057778,             0.00057778
                     68,                      0,                 39.446,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4383,                 4.5528,                 2.9173,             0.00056128,             0.00056128,             0.00056128
                     69,                      0,                 38.821,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4383,                 4.5528,                 2.9173,             0.00054478,             0.00054478,             0.00054478
                     70,                      0,                 38.853,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4565,                 4.5574,                 2.9247,             0.00052827,             0.00052827,             0.00052827
                     71,                      0,                 38.596,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4435,                 4.5552,                 2.9122,             0.00051177,             0.00051177,             0.00051177
                     72,                      0,                 38.236,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4594,                  4.552,                 2.9222,             0.00049527,             0.00049527,             0.00049527
                     73,                      0,                 37.679,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4594,                  4.552,                 2.9222,             0.00047876,             0.00047876,             0.00047876
                     74,                      0,                 37.643,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4653,                 4.5505,                 2.9307,             0.00046226,             0.00046226,             0.00046226
                     75,                      0,                 37.456,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4801,                 4.5504,                 2.9442,             0.00044576,             0.00044576,             0.00044576
                     76,                      0,                 37.407,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4575,                 4.5515,                 2.9391,             0.00042925,             0.00042925,             0.00042925
                     77,                      0,                 36.843,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4575,                 4.5515,                 2.9391,             0.00041275,             0.00041275,             0.00041275
                     78,                      0,                 36.741,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4307,                 4.5582,                 2.9325,             0.00039625,             0.00039625,             0.00039625
                     79,                      0,                 36.703,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4029,                 4.5682,                 2.9145,             0.00037974,             0.00037974,             0.00037974
                     80,                      0,                 36.255,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3786,                 4.5941,                 2.9008,             0.00036324,             0.00036324,             0.00036324
                     81,                      0,                 36.215,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3786,                 4.5941,                 2.9008,             0.00034674,             0.00034674,             0.00034674
                     82,                      0,                 36.002,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3556,                 4.6208,                 2.8838,             0.00033023,             0.00033023,             0.00033023
                     83,                      0,                 36.074,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3252,                 4.6312,                 2.8552,             0.00031373,             0.00031373,             0.00031373
                     84,                      0,                 35.717,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3145,                 5.1275,                 2.8498,             0.00029723,             0.00029723,             0.00029723
                     85,                      0,                 35.611,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3145,                 5.1275,                 2.8498,             0.00028072,             0.00028072,             0.00028072
                     86,                      0,                 35.426,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3136,                 6.7904,                 2.8533,             0.00026422,             0.00026422,             0.00026422
                     87,                      0,                 35.299,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                  4.349,                 6.1543,                 2.8744,             0.00024772,             0.00024772,             0.00024772
                     88,                      0,                 35.143,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                  4.362,                 5.5544,                 2.8861,             0.00023121,             0.00023121,             0.00023121
                     89,                      0,                 34.967,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                  4.362,                 5.5544,                 2.8861,             0.00021471,             0.00021471,             0.00021471
                     90,                      0,                 34.938,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3435,                 4.9271,                 2.8777,             0.00019821,             0.00019821,             0.00019821
                     91,                      0,                 35.048,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.3683,                 4.8018,                 2.8802,              0.0001817,              0.0001817,              0.0001817
                     92,                      0,                 35.015,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4043,                 4.8985,                 2.8972,              0.0001652,              0.0001652,              0.0001652
                     93,                      0,                 34.816,                      0,                  3e-05,                0.00081,                  1e-05,                      0,                 4.4043,                 4.8985,                 2.8972,              0.0001487,              0.0001487,              0.0001487
                     94,                      0,                 34.564,                      0,                  3e-05,                0.00081,                  2e-05,                      0,                 4.4207,                 4.9472,                 2.8946,             0.00013219,             0.00013219,             0.00013219
                     95,                      0,                  34.52,                      0,                  3e-05,                0.00081,                  2e-05,                      0,                 4.4202,                 4.7569,                 2.8901,             0.00011569,             0.00011569,             0.00011569
                     96,                      0,                 34.448,                      0,                  6e-05,                0.00162,                  3e-05,                  1e-05,                  4.436,                 4.7614,                 2.8999,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                      0,                 34.355,                      0,                  6e-05,                0.00162,                  3e-05,                  1e-05,                  4.436,                 4.7614,                 2.8999,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                      0,                 34.437,                      0,                  6e-05,                0.00162,                  3e-05,                  1e-05,                 4.4416,                 4.6887,                 2.8967,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                      0,                  34.34,                      0,                  3e-05,                0.00081,                  2e-05,                      0,                 4.4262,                 4.6459,                 2.8801,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                      0,                 34.291,                      0,                  3e-05,                0.00081,                  2e-05,                      0,                 4.4249,                 4.6308,                 2.8773,             3.3173e-05,             3.3173e-05,             3.3173e-05
